"date","geography","geography code","Population Density: Persons per square kilometre; measures: Value"
"2021","E00060414","E00060414",3959.0
"2021","E00060415","E00060415",6886.4
"2021","E00060416","E00060416",5808.4
"2021","E00060403","E00060403",4690.3
"2021","E00060408","E00060408",2418.1
"2021","E00060409","E00060409",7651.3
"2021","E00060411","E00060411",5597.9
"2021","E00060412","E00060412",4400.8
"2021","E00060413","E00060413",3913.0
"2021","E00060400","E00060400",7441.3
"2021","E00060405","E00060405",5719.6
"2021","E00060406","E00060406",8198.0
"2021","E00060407","E00060407",6403.9
"2021","E00060410","E00060410",7935.3
"2021","E00060311","E00060311",46.2
"2021","E00060312","E00060312",175.5
"2021","E00060313","E00060313",60.8
"2021","E00060315","E00060315",89.7
"2021","E00060316","E00060316",80.3
"2021","E00188179","E00188179",21.1
"2021","E00188246","E00188246",367.4
"2021","E00188283","E00188283",740.5
"2021","E00060330","E00060330",5547.0
"2021","E00060332","E00060332",4889.3
"2021","E00060333","E00060333",4042.6
"2021","E00060334","E00060334",3895.7
"2021","E00060335","E00060335",4364.3
"2021","E00060320","E00060320",5393.9
"2021","E00060323","E00060323",5194.2
"2021","E00060324","E00060324",4830.5
"2021","E00060326","E00060326",3860.9
"2021","E00060327","E00060327",4842.9
"2021","E00060355","E00060355",4131.8
"2021","E00060356","E00060356",555.0
"2021","E00060357","E00060357",830.1
"2021","E00060358","E00060358",28.4
"2021","E00060359","E00060359",4469.8
"2021","E00060360","E00060360",3994.2
"2021","E00060361","E00060361",2841.0
"2021","E00060428","E00060428",1249.6
"2021","E00060429","E00060429",2010.7
"2021","E00060430","E00060430",2745.1
"2021","E00188288","E00188288",344.3
"2021","E00188302","E00188302",1280.9
"2021","E00060536","E00060536",5053.6
"2021","E00060537","E00060537",3962.6
"2021","E00060543","E00060543",3818.2
"2021","E00060546","E00060546",4024.0
"2021","E00060549","E00060549",481.8
"2021","E00060535","E00060535",2358.4
"2021","E00060541","E00060541",4343.6
"2021","E00060553","E00060553",3555.0
